Database,Accounting,Table,AccountChart,,,,,,,,,,,,,,,,,,,,
AccountNumber,CurrencyCode,BranchCode,ParentAccountId,AccountLevel,IsAccountLeave,BalanceSide,ReverseBalance,PostingSide,AccountName,ShortAccountName,MultiValueName,AccountClassification,AccountCategories,AccountGroup,DirectPosting,IsVisible,IsMultiCurrency,JobProcessOption,RefAccountNumber,ReferencesNumber,CreatedOnUtc,UpdatedOnUtc,Id
10701,AAA,001,107,3,FALSE,D,N,A,"Property, Plant and Equipments - Land","Property, Plant and Equipments - Land",,A,M,N,Y,N,Y,N,,,,,0
10702,AAA,001,107,3,FALSE,D,N,A,"Property, Plant and Equipments - Buildings","Property, Plant and Equipments - Buildings",,A,M,N,Y,N,Y,N,,,,,0
10703,AAA,001,107,3,FALSE,D,N,A,"Property, Plant and Equipments - Furniture and Fixtures","Property, Plant and Equipments - Furniture and Fixtures",,A,M,N,Y,N,Y,N,,,,,0
10704,AAA,001,107,3,FALSE,D,N,A,"Property, Plant and Equipments - Office Machinery and Equipments","Property, Plant and Equipments - Office Machinery and Equipments",,A,M,N,Y,N,Y,N,,,,,0
10705,AAA,001,107,3,FALSE,D,N,A,"Property, Plant and Equipments - Motor Vehicles","Property, Plant and Equipments - Motor Vehicles",,A,M,N,Y,N,Y,N,,,,,0
10706,AAA,001,107,3,FALSE,D,N,A,"Property, Plant and Equipments - IT and Electrical Equipments","Property, Plant and Equipments - IT and Electrical Equipments",,A,M,N,Y,N,Y,N,,,,,0
10707,AAA,001,107,3,FALSE,D,N,A,"Property, Plant and Equipments -Other","Property, Plant and Equipments -Other",,A,M,N,Y,N,Y,N,,,,,0
10801,AAA,001,108,3,FALSE,D,N,A,Right of Use Assets - Leasehold Property,Right of Use Assets - Leasehold Property,,A,M,N,Y,N,Y,N,,,,,0
10901,AAA,001,109,3,FALSE,D,N,A,Intangible Assets - Core Banking System,Intangible Assets - Core Banking System,,A,M,N,Y,N,Y,N,,,,,0
10902,AAA,001,109,3,FALSE,D,N,A,Intangible Assets - Other Software,Intangible Assets - Other Software,,A,M,N,Y,N,Y,N,,,,,0
11001,AAA,001,110,3,FALSE,D,N,A,Other Assets - Restricted Cash at CBM,Other Assets - Restricted Cash at CBM,,A,M,N,Y,N,Y,N,,,,,0
11002,AAA,001,110,3,FALSE,D,N,A,Other Assets - Accrued Interest Receivable,Other Assets - Accrued Interest Receivable,,A,M,N,Y,N,Y,N,,,,,0
11003,AAA,001,110,3,FALSE,D,N,A,Other Assets - Debit Note Receivables,Other Assets - Debit Note Receivables,,A,M,N,Y,N,Y,N,,,,,0
11004,AAA,001,110,3,FALSE,D,N,A,Other Assets - Internal Draft & Cheque Purchase,Other Assets - Internal Draft & Cheque Purchase,,A,M,N,Y,N,Y,N,,,,,0
11005,AAA,001,110,3,FALSE,D,N,A,Other Assets - Other Receivables,Other Assets - Other Receivables,,A,M,N,Y,N,Y,N,,,,,0
11006,AAA,001,110,3,FALSE,D,N,A,Other Assets - Suspense Accounts,Other Assets - Suspense Accounts,,A,M,N,Y,N,Y,N,,,,,0
11007,AAA,001,110,3,FALSE,D,N,A,Other Assets - Prepaid,Other Assets - Prepaid,,A,M,N,Y,N,Y,N,,,,,0
11008,AAA,001,110,3,FALSE,D,N,A,Other Assets - Deferred Expenses,Other Assets - Deferred Expenses,,A,M,N,Y,N,Y,N,,,,,0
11009,AAA,001,110,3,FALSE,D,N,A,Other Assets - Claims,Other Assets - Claims,,A,M,N,Y,N,Y,N,,,,,0
11010,AAA,001,110,3,FALSE,B,N,A,Other Assets - IBS,Other Assets - IBS,,A,M,N,Y,N,Y,N,,,,,0
11011,AAA,001,110,3,FALSE,D,N,A,Other Assets - All Other Assets,Other Assets - All Other Assets,,A,M,N,Y,N,Y,N,,,,,0
20101,AAA,001,201,3,FALSE,C,N,A,Short-term Borrowings,Short-term Borrowings,,L,M,N,Y,N,Y,N,,,,,0
20201,AAA,001,202,3,FALSE,C,N,A,Deposits of Financial Institutions,Deposits of Financial Institutions,,L,M,N,Y,N,Y,N,,,,,0
20202,AAA,001,202,3,FALSE,C,N,A,Deposits by NFIs and Other Clients (Corporate),Deposits by NFIs and Other Clients (Corporate),,L,M,N,Y,N,Y,N,,,,,0
20203,AAA,001,202,3,FALSE,C,N,A,Deposits by NFIs and Other Clients (Individual),Deposits by NFIs and Other Clients (Individual),,L,M,N,Y,N,Y,N,,,,,0
20501,AAA,001,205,3,FALSE,C,N,A,2% General Provision,2% General Provision,,L,M,N,Y,N,Y,N,,,,,0
20502,AAA,001,205,3,FALSE,C,N,A,"Provision for Depreciation of Property, Plant and Equipments","Provision for Depreciation of Property, Plant and Equipments",,L,M,N,Y,N,Y,N,,,,,0
20503,AAA,001,205,3,FALSE,C,N,A,Provision for Depreciation of Right of Use Assets,Provision for Depreciation of Right of Use Assets,,L,M,N,Y,N,Y,N,,,,,0
20504,AAA,001,205,3,FALSE,C,N,A,Provision for Amortization of Intangible Assets,Provision for Amortization of Intangible Assets,,L,M,N,Y,N,Y,N,,,,,0
20505,AAA,001,205,3,FALSE,C,N,A,Provisions for Income Tax,Provisions for Income Tax,,L,M,N,Y,N,Y,N,,,,,0
20506,AAA,001,205,3,FALSE,C,N,A,Provision for Others,Provision for Others,,L,M,N,Y,N,Y,N,,,,,0
20701,AAA,001,207,3,FALSE,C,N,A,Accrued and Other Liabilities - Accrued Interest Payable,Accrued and Other Liabilities - Accrued Interest Payable,,L,M,N,Y,N,Y,N,,,,,0
20702,AAA,001,207,3,FALSE,C,N,A,Accrued and Other Liabilities - Sundry Deposits- Paid-up Capital,Accrued and Other Liabilities - Sundry Deposits- Paid-up Capital,,L,M,N,Y,N,Y,N,,,,,0
20703,AAA,001,207,3,FALSE,C,N,A,Accrued and Other Liabilities - Sundry Deposits- Interest in Suspense,Accrued and Other Liabilities - Sundry Deposits- Interest in Suspense,,L,M,N,Y,N,Y,N,,,,,0
20704,AAA,001,207,3,FALSE,C,N,A,Accrued and Other Liabilities - Sundry Deposits- Marginal Deposit,Accrued and Other Liabilities - Sundry Deposits- Marginal Deposit,,L,M,N,Y,N,Y,N,,,,,0
20705,AAA,001,207,3,FALSE,C,N,A,Accrued and Other Liabilities - Sundry Deposits- Others,Accrued and Other Liabilities - Sundry Deposits- Others,,L,M,N,Y,N,Y,N,,,,,0
20706,AAA,001,207,3,FALSE,C,N,A,Accrued and Other Liabilities - Unclaimed Liabilities,Accrued and Other Liabilities - Unclaimed Liabilities,,L,M,N,Y,N,Y,N,,,,,0
20707,AAA,001,207,3,FALSE,C,N,A,Accrued and Other Liabilities - Item Due Unpaid,Accrued and Other Liabilities - Item Due Unpaid,,L,M,N,Y,N,Y,N,,,,,0
20708,AAA,001,207,3,FALSE,C,N,A,Accrued and Other Liabilities - Payment Order,Accrued and Other Liabilities - Payment Order,,L,M,N,Y,N,Y,N,,,,,0
20709,AAA,001,207,3,FALSE,C,N,A,Accrued and Other Liabilities - Gift Cheques,Accrued and Other Liabilities - Gift Cheques,,L,M,N,Y,N,Y,N,,,,,0
20710,AAA,001,207,3,FALSE,C,N,A,Accrued and Other Liabilities - Internal Remittance,Accrued and Other Liabilities - Internal Remittance,,L,M,N,Y,N,Y,N,,,,,0
20711,AAA,001,207,3,FALSE,C,N,A,Accrued and Other Liabilities - Debit Note Payables,Accrued and Other Liabilities - Debit Note Payables,,L,M,N,Y,N,Y,N,,,,,0
20712,AAA,001,207,3,FALSE,C,N,A,Accrued and Other Liabilities - Other Liabilities,Accrued and Other Liabilities - Other Liabilities,,L,M,N,Y,N,Y,N,,,,,0
20801,AAA,001,208,3,FALSE,C,N,A,Share Capital - Ordinary Share Capital,Share Capital - Ordinary Share Capital,,L,M,N,Y,N,Y,N,,,,,0
20901,AAA,001,209,3,FALSE,C,N,A,Retained Earnings,Retained Earnings,,L,M,N,Y,N,Y,N,,,,,0
21001,AAA,001,210,3,FALSE,C,N,A,Statutory Reserves,Statutory Reserves,,L,M,N,Y,N,Y,N,,,,,0
21002,AAA,001,210,3,FALSE,C,N,A,Contingency Reserves,Contingency Reserves,,L,M,N,Y,N,Y,N,,,,,0
21003,AAA,001,210,3,FALSE,C,N,A,Other Reserves,Other Reserves,,L,M,N,Y,N,Y,N,,,,,0
30101,AAA,001,301,3,FALSE,C,N,A,Deposits with CBM,Deposits with CBM,,I,M,I,Y,N,Y,N,,,,,0
30102,AAA,001,301,3,FALSE,C,N,A,Deposits with Banks,Deposits with Banks,,I,M,I,Y,N,Y,N,,,,,0
30103,AAA,001,301,3,FALSE,C,N,A,Loans,Loans,,I,M,I,Y,N,Y,N,,,,,0
30104,AAA,001,301,3,FALSE,C,N,A,Trade Finance,Trade Finance,,I,M,I,Y,N,Y,N,,,,,0
30105,AAA,001,301,3,FALSE,C,N,A,Discounted Bills (Bills Purchased),Discounted Bills (Bills Purchased),,I,M,I,Y,N,Y,N,,,,,0
30106,AAA,001,301,3,FALSE,C,N,A,Overdraft,Overdraft,,I,M,I,Y,N,Y,N,,,,,0
30107,AAA,001,301,3,FALSE,C,N,A,Overdraft to Term Loans,Overdraft to Term Loans,,I,M,I,Y,N,Y,N,,,,,0
30108,AAA,001,301,3,FALSE,C,N,A,Investments,Investments,,I,M,I,Y,N,Y,N,,,,,0
30301,AAA,001,303,3,FALSE,C,N,A,Fees and Commission on Loans and Overdraft,Fees and Commission on Loans and Overdraft,,I,M,I,Y,N,Y,N,,,,,0
30302,AAA,001,303,3,FALSE,C,N,A,Fees and Commission on Cards,Fees and Commission on Cards,,I,M,I,Y,N,Y,N,,,,,0
30303,AAA,001,303,3,FALSE,C,N,A,Fees on Remittance,Fees on Remittance,,I,M,I,Y,N,Y,N,,,,,0
30304,AAA,001,303,3,FALSE,C,N,A,Commissions on Trade and Services Financing,Commissions on Trade and Services Financing,,I,M,I,Y,N,Y,N,,,,,0
30305,AAA,001,303,3,FALSE,C,N,A,Commissions on Hire Purchase,Commissions on Hire Purchase,,I,M,I,Y,N,Y,N,,,,,0
30306,AAA,001,303,3,FALSE,C,N,A,Commissions on Telegraphic Transfer of Foreign Currency,Commissions on Telegraphic Transfer of Foreign Currency,,I,M,I,Y,N,Y,N,,,,,0
30307,AAA,001,303,3,FALSE,C,N,A,Commission on Payment Order,Commission on Payment Order,,I,M,I,Y,N,Y,N,,,,,0
30308,AAA,001,303,3,FALSE,C,N,A,Commission on Insurance,Commission on Insurance,,I,M,I,Y,N,Y,N,,,,,0
30309,AAA,001,303,3,FALSE,C,N,A,Others,Others,,I,M,I,Y,N,Y,N,,,,,0
30401,AAA,001,304,3,FALSE,C,N,A,Foreign Exchange Gain,Foreign Exchange Gain,,I,M,I,Y,N,Y,N,,,,,0
30501,AAA,001,305,3,FALSE,C,N,A,Gains on Fixed Assets,Gains on Fixed Assets,,I,M,I,Y,N,Y,N,,,,,0
30502,AAA,001,305,3,FALSE,C,N,A,Services Charges on MPU/ATM Transactions,Services Charges on MPU/ATM Transactions,,I,M,I,Y,N,Y,N,,,,,0
30503,AAA,001,305,3,FALSE,C,N,A,Services Charges on MPU/POS Transactions,Services Charges on MPU/POS Transactions,,I,M,I,Y,N,Y,N,,,,,0
30504,AAA,001,305,3,FALSE,C,N,A,Services Charges on Loans and Overdraft,Services Charges on Loans and Overdraft,,I,M,I,Y,N,Y,N,,,,,0
30505,AAA,001,305,3,FALSE,C,N,A,Services Charges for Others,Services Charges for Others,,I,M,I,Y,N,Y,N,,,,,0
30506,AAA,001,305,3,FALSE,C,N,A,Cash Advance Fees on Credit Cards,Cash Advance Fees on Credit Cards,,I,M,I,Y,N,Y,N,,,,,0
30507,AAA,001,305,3,FALSE,C,N,A,Replacement Fee for Lost Debit Cards,Replacement Fee for Lost Debit Cards,,I,M,I,Y,N,Y,N,,,,,0
30508,AAA,001,305,3,FALSE,C,N,A,Locker Rent,Locker Rent,,I,M,I,Y,N,Y,N,,,,,0
30509,AAA,001,305,3,FALSE,C,N,A,Other Income,Other Income,,I,M,I,Y,N,Y,N,,,,,0
40101,AAA,001,401,3,FALSE,D,N,A,Deposits by Banks,Deposits by Banks,,E,M,E,Y,N,Y,N,,,,,0
40102,AAA,001,401,3,FALSE,D,N,A,Deposits by NFIs and Other Clients,Deposits by NFIs and Other Clients,,E,M,E,Y,N,Y,N,,,,,0
40103,AAA,001,401,3,FALSE,D,N,A,Borrowings from CBM,Borrowings from CBM,,E,M,E,Y,N,Y,N,,,,,0
40104,AAA,001,401,3,FALSE,D,N,A,Borrowings from Interbanks (Domestic),Borrowings from Interbanks (Domestic),,E,M,E,Y,N,Y,N,,,,,0
40201,AAA,001,402,3,FALSE,D,N,A,SWIFT Charges,SWIFT Charges,,E,M,E,Y,N,Y,N,,,,,0
40202,AAA,001,402,3,FALSE,D,N,A,Remittance Expenses,Remittance Expenses,,E,M,E,Y,N,Y,N,,,,,0
40203,AAA,001,402,3,FALSE,D,N,A,Other Miscellaneous Fees,Other Miscellaneous Fees,,E,M,E,Y,N,Y,N,,,,,0
40301,AAA,001,403,3,FALSE,D,N,A,Foreign Exchange loss,Foreign Exchange loss,,E,M,E,Y,N,Y,N,,,,,0
40401,AAA,001,404,3,FALSE,D,N,A,Personal Expenses,Personal Expenses,,E,M,E,Y,N,Y,N,,,,,0
40501,AAA,001,405,3,FALSE,D,N,A,License Fees,License Fees,,E,M,E,Y,N,Y,N,,,,,0
40502,AAA,001,405,3,FALSE,D,N,A,Depreciation and Amortization,Depreciation and Amortization,,E,M,E,Y,N,Y,N,,,,,0
40503,AAA,001,405,3,FALSE,D,N,A,Supplies and Services,Supplies and Services,,E,M,E,Y,N,Y,N,,,,,0
40504,AAA,001,405,3,FALSE,D,N,A,Rates and Taxes,Rates and Taxes,,E,M,E,Y,N,Y,N,,,,,0
40505,AAA,001,405,3,FALSE,D,N,A,Repairs and Maintenances,Repairs and Maintenances,,E,M,E,Y,N,Y,N,,,,,0
40506,AAA,001,405,3,FALSE,D,N,A,Security Services Fees,Security Services Fees,,E,M,E,Y,N,Y,N,,,,,0
40507,AAA,001,405,3,FALSE,D,N,A,Rent,Rent,,E,M,E,Y,N,Y,N,,,,,0
40508,AAA,001,405,3,FALSE,D,N,A,Insurance,Insurance,,E,M,E,Y,N,Y,N,,,,,0
40509,AAA,001,405,3,FALSE,D,N,A,Audit Fees,Audit Fees,,E,M,E,Y,N,Y,N,,,,,0
40510,AAA,001,405,3,FALSE,D,N,A,Donations,Donations,,E,M,E,Y,N,Y,N,,,,,0
40511,AAA,001,405,3,FALSE,D,N,A,Loss on Fixed Assets,Loss on Fixed Assets,,E,M,E,Y,N,Y,N,,,,,0
40512,AAA,001,405,3,FALSE,D,N,A,Others,Others,,E,M,E,Y,N,Y,N,,,,,0
40601,AAA,001,406,3,FALSE,D,N,A,Income Tax,Income Tax,,E,M,E,Y,N,Y,N,,,,,0
50101,AAA,001,501,3,FALSE,B,N,A,AEG CONTRA A/C,AEG CONTRA A/C,,C,M,N,Y,N,Y,N,,,,,0
50201,AAA,001,502,3,FALSE,B,N,A,Position Equivalent GL (MMK),Position Equivalent GL (MMK),,C,M,N,Y,N,Y,N,,,,,0
60101,AAA,001,601,3,FALSE,B,N,A,AEG INTERNAL GUARANTEE,AEG INTERNAL GUARANTEE,,M,M,N,Y,N,Y,N,,,,,0
60201,AAA,001,602,3,FALSE,B,N,A,POSITION GL (FOREIGN CURRENCY),POSITION GL (FOREIGN CURRENCY),,M,M,N,Y,N,Y,N,,,,,0
1010101,AAA,001,10101,4,FALSE,D,N,A,Cash and balances with Domestic Banks - Demand Deposit,Cash and balances with Domestic Banks - Demand Deposit,,A,M,N,Y,N,Y,N,,,,,0
1010102,AAA,001,10101,4,FALSE,D,N,A,Cash and balances with Domestic Banks - Time Deposit,Cash and balances with Domestic Banks - Time Deposit,,A,M,N,Y,N,Y,N,,,,,0
1010401,AAA,001,10104,4,FALSE,D,N,A,Cash and balances with Foreign Banks- Demand Deposit,Cash and balances with Foreign Banks- Demand Deposit,,A,M,N,Y,N,Y,N,,,,,0
1020101,AAA,001,10201,4,FALSE,D,N,A,Balances with DomesticBanks - Fixed Deposits more than three months,Balances with DomesticBanks - Fixed Deposits more than three months,,A,M,N,Y,N,Y,N,,,,,0
1030101,AAA,001,10301,4,FALSE,D,N,A,Loans to Domestic Financial Institutions,Loans to Domestic Financial Institutions,,A,M,N,Y,N,Y,N,,,,,0
1030102,AAA,001,10301,4,FALSE,D,N,A,Loans to NFIs and Other Clients (Corporate),Loans to NFIs and Other Clients (Corporate),,A,M,N,Y,N,Y,N,,,,,0
1030103,AAA,001,10301,4,FALSE,D,N,A,Loans to NFIs and Other Clients (Individual),Loans to NFIs and Other Clients (Individual),,A,M,N,Y,N,Y,N,,,,,0
1030301,AAA,001,10303,4,FALSE,D,N,A,Overdraft to NFIs and Other Clients (Corporate),Overdraft to NFIs and Other Clients (Corporate),,A,M,N,Y,N,Y,N,,,,,0
1030302,AAA,001,10303,4,FALSE,D,N,A,Overdraft to NFIs and Other Clients (Individual),Overdraft to NFIs and Other Clients (Individual),,A,M,N,Y,N,Y,N,,,,,0
1030401,AAA,001,10304,4,FALSE,D,N,A,Overdraft to Term Loans - NFIs and Other Clients (Corporate),Overdraft to Term Loans - NFIs and Other Clients (Corporate),,A,M,N,Y,N,Y,N,,,,,0
1030402,AAA,001,10304,4,FALSE,D,N,A,Overdraft to Term Loans - NFIs and Other Clients (Individual),Overdraft to Term Loans - NFIs and Other Clients (Individual),,A,M,N,Y,N,Y,N,,,,,0
1040101,AAA,001,10401,4,FALSE,D,N,A,Treasury Bills,Treasury Bills,,A,M,N,Y,N,Y,N,,,,,0
1040102,AAA,001,10401,4,FALSE,D,N,A,Treasury Bonds,Treasury Bonds,,A,M,N,Y,N,Y,N,,,,,0
1040201,AAA,001,10402,4,FALSE,D,N,A,Equity Investment - Normal,Equity Investment - Normal,,A,M,N,Y,N,Y,N,,,,,0
1100101,AAA,001,11001,4,FALSE,D,N,A,Other Assets - Restricted Cash (Other claims on CBM),Other Assets - Restricted Cash (Other claims on CBM),,A,M,N,Y,N,Y,N,,,,,0
1100201,AAA,001,11002,4,FALSE,D,N,A,Other Assets - Accrued Interest Receivable (Deposits placed at other banks),Other Assets - Accrued Interest Receivable (Deposits placed at other banks),,A,M,N,Y,N,Y,N,,,,,0
1100202,AAA,001,11002,4,FALSE,D,N,A,Other Assets - Accrued Interest Receivable (Loans),Other Assets - Accrued Interest Receivable (Loans),,A,M,N,Y,N,Y,N,,,,,0
1100203,AAA,001,11002,4,FALSE,D,N,A,Other Assets - Accrued Interest Receivable (Trade Finance),Other Assets - Accrued Interest Receivable (Trade Finance),,A,M,N,Y,N,Y,N,,,,,0
1100204,AAA,001,11002,4,FALSE,D,N,A,Other Assets - Accrued Interest Receivable (Overdraft),Other Assets - Accrued Interest Receivable (Overdraft),,A,M,N,Y,N,Y,N,,,,,0
1100205,AAA,001,11002,4,FALSE,D,N,A,Other Assets - Accrued Interest Receivable (Overdraft to Term Loans),Other Assets - Accrued Interest Receivable (Overdraft to Term Loans),,A,M,N,Y,N,Y,N,,,,,0
1100206,AAA,001,11002,4,FALSE,D,N,A,Other Assets - Accrued Interest Receivable from CBM,Other Assets - Accrued Interest Receivable from CBM,,A,M,N,Y,N,Y,N,,,,,0
1100501,AAA,001,11005,4,FALSE,D,N,A,Other Assets - Other Receivables (NFIs and Other Clients),Other Assets - Other Receivables (NFIs and Other Clients),,A,M,N,Y,N,Y,N,,,,,0
1101001,AAA,001,11010,4,FALSE,B,N,A,IBS (GENERAL) A/C,IBS (GENERAL) A/C,,A,M,N,Y,N,Y,N,,,,,0
1101002,AAA,001,11010,4,FALSE,B,N,A,IBS (FOREIGN REMITTANCE) A/C,IBS (FOREIGN REMITTANCE) A/C,,A,M,N,Y,N,Y,N,,,,,0
